"ds-dex-table-row href","ds-dex-table-row-badge-pair-no","ds-dex-table-row-dex-icon src","ds-dex-table-row-token-icon-img src","ds-dex-table-row-badge","ds-dex-table-row-base-token-symbol","ds-dex-table-row-quote-token-symbol","ds-dex-table-row-base-token-name-text","ds-table-data-cell","ds-table-data-cell 2","ds-table-data-cell 3","ds-table-data-cell 4","ds-table-data-cell 5","ds-change-perc","ds-change-perc 2","ds-change-perc 3","ds-change-perc 4","ds-table-data-cell 6","ds-table-data-cell 7","ds-table-empty-val","chakra-text","chakra-text 2"
"https://dexscreener.com/pulsechain/0xb543812ddebc017976f867da710ddb30cca22929","#162","https://dd.dexscreener.com/ds-data/dexes/9inch.png","https://cdn.dexscreener.com/cms/images/2af427947294ab20de40c0340aecfd0a95c0e350ca854946868a445986ce1e5a?width=64&height=64&fit=crop&quality=95&format=auto","v2","BBC","9INCH","Big Bonus Coin","$0.002457","2y","48","$121","17","0.77%","1.77%","3.10%","4.69%","$72K","$133K","","",""
"https://dexscreener.com/pulsechain/0xaf9641b03268f456c1d04e8c00150602ff3069bc","#163","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/8b729370cc0269ea7f3e108c0c6524e50ef950cc0af33a524cf245c336477230?width=64&height=64&fit=crop&quality=95&format=auto","v1","TEDDY BEAR ㉾","scissors ㉾","BEAR","","2y","50","$269","34","3.81%","4.04%","5.85%","23.94%","$11K","$5.6M","","$0.05649","8"
"https://dexscreener.com/pulsechain/0x6312a9477e3bc81d5e3a44d77f0a43630904ff69","#164","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/a2a5892b3eb4c0bb12c500d8cae3d910dec3315ea7c78ffb97819f084acb8ed1?width=64&height=64&fit=crop&quality=95&format=auto","v1","IM","WPLS","Internet Money","","2y","681","$3.8K","265","","0.36%","13.92%","116%","$6.6K","$125K","-","$0.01886","7"
"https://dexscreener.com/pulsechain/0x9fac7d7a9f9630c6ecca5905dcf7a4d35e206d8a","#165","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/87dca16beb4710792e55d8744f0ed937e641e7bed6a336a8aaf37b4f309853d2?width=64&height=64&fit=crop&quality=95&format=auto","v1","ProveX","WPLS","ProveX","","2mo","54","$1.1K","37","2.99%","5.84%","18.14%","43.42%","$11K","$51K","","$0.05236","4"
"https://dexscreener.com/pulsechain/0xf18e9e59b7317b77af89df4f2aa711ca96610982","#166","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/2a88bd8b441a42ce8ea0cc20720a9ba5a4a2265df834d30eafc278506c4114fa?width=64&height=64&fit=crop&quality=95&format=auto","v1","DWY","WPLS","Dunamis","","1mo","54","$2.0K","35","","","23.89%","15.58%","$9.5K","$37K","-","$0.03733","4"
"https://dexscreener.com/pulsechain/0xb2406c1e31da31c1118e4dbcb4ed2456fecfc6ce","#167","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/3049f5d96523f200b4bd5624d463cfff7bf778bf41f4d3f6dd44121d85e87a92?width=64&height=64&fit=crop&quality=95&format=auto","v1","WICK","WPLS","Green Wick","$0.01225","1y","145","$1.8K","82","","-0.02%","3.87%","5.38%","$10K","$134K","-","",""
"https://dexscreener.com/pulsechain/0x864da5b36da7cd93e54b1ed1582b2c622acd69a3","#168","https://dd.dexscreener.com/ds-data/dexes/9mm.png","https://cdn.dexscreener.com/cms/images/7b95c3c8cc915f0c09d268a02433efbf321d7b62689deec6ac802975526d1d3b?width=64&height=64&fit=crop&quality=95&format=auto","V3","INC","PLSX","Incentive","$0.6230","1y","12","$156","7","","","0.74%","0.74%","$10K","$34.7M","-","",""
"https://dexscreener.com/pulsechain/0x5f49421c0f74873bc02d0a912f171a030008f2c9","#169","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/ccf2195897a0392e4355d2cd124c71c3037f70581b9d9445577538cf362cc372?width=64&height=64&fit=crop&quality=95&format=auto","v2","ARK","WPLS","The Ark","$0.002406","4mo","4","$523","4","","","-0.14%","0.22%","$69K","$2.2M","-","",""
"https://dexscreener.com/pulsechain/0xb806f72511d33f128e759eb43531dd3764a4df8d","#170","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/1e453b8f7f4795a6fda37621ff825227511dc1831f2c1377772b0053d9e039c4?width=64&height=64&fit=crop&quality=95&format=auto","v2","rETH","WPLS","Rocket Pool ETH","$2.58","2y","506","$2.3K","311","","0.67%","7.23%","20.87%","$3.8K","$976K","-","",""
"https://dexscreener.com/pulsechain/0x1164dab36cd7036668ddcbb430f7e0b15416ef0b","#171","https://dd.dexscreener.com/ds-data/dexes/9inch.png","https://cdn.dexscreener.com/cms/images/37df6019d930979f02adea05038f1e7d8370b8f96db0ff4a27b2a1af25dad592?width=64&height=64&fit=crop&quality=95&format=auto","v2","9INCH","WPLS","9INCH","","2y","293","$1.2K","182","0.72%","0.86%","2.66%","3.61%","$49K","$401K","","$0.04202","6"
